id	well	plate	total_reads	coverage	genecounts	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch	part	mainchrgenecounts
108_E6_b	108_E6	E6	108	10425666	3.60965	2254057	1	4	6	1	1	2	2	22	body	1876714
108_E6_h	108_E6	E6	108	10425666	3.60965	1589364	1	1	1	1	1	2	5	23	head	1341550
108_E7_b	108_E7	E7	108	12267704	4.59784	2512016	1	4	6	1	1	2	2	22	body	2010922
108_E7_h	108_E7	E7	108	12267704	4.59784	1715868	1	1	1	1	1	2	5	23	head	1431239
108_E8_h	108_E8	E8	108	50566990	3.75436	7558925	1	1	1	1	1	2	5	23	head	6186604
108_E9_b	108_E9	E9	108	41734414	4.31593	1825358	1	4	6	1	1	2	2	22	body	1461521
108_E9_h	108_E9	E9	108	41734414	4.31593	2146653	1	1	4	1	1	2	5	23	head	1793998
108_F1_b	108_F1	F1	108	4898022	1.87167	1674263	1	4	6	1	1	2	2	22	body	1416018
108_F1_h	108_F1	F1	108	4898022	1.87167	2271549	1	1	1	1	1	2	5	23	head	1999844
108_F10_b	108_F10	F10	108	49444740	4.59352	952431	1	4	6	1	1	2	2	22	body	866103
108_F10_h	108_F10	F10	108	49444740	4.59352	3207757	1	1	1	1	1	2	5	23	head	2637384
108_F2_b	108_F2	F2	108	10765794	4.21573	1659617	1	4	6	1	1	2	2	22	body	1350268
108_F2_h	108_F2	F2	108	10765794	4.21573	6723575	1	1	1	1	1	2	5	23	head	5507083
108_F3_b	108_F3	F3	108	13524848	5.785	1946489	1	4	6	1	1	2	2	22	body	1589423
108_F3_h	108_F3	F3	108	13524848	5.785	5851006	1	1	1	1	1	2	5	23	head	4882788
108_F4_b	108_F4	F4	108	6789104	2.40251	2501268	1	4	6	1	1	2	2	22	body	2004123
108_F5_b	108_F5	F5	108	12039490	4.25072	2145579	1	4	6	1	1	2	2	22	body	1787057
108_F5_h	108_F5	F5	108	12039490	4.25072	8885888	1	1	1	1	1	2	5	23	head	7205290
108_F6_h	108_F6	F6	108	56390426	4.23889	6958965	1	1	1	1	1	2	5	23	head	5935336
108_F8_b	108_F8	F8	108	10814606	4.00179	2176002	1	4	6	1	1	2	2	22	body	1825441
108_F9_b	108_F9	F9	108	51822832	4.75678	1455753	1	4	6	1	1	2	2	22	body	1191070
108_F9_h	108_F9	F9	108	51822832	4.75678	1024477	1	1	1	1	1	2	5	23	head	799289
108_G1_b	108_G1	G1	108	10451540	4.7795	2435629	1	4	6	1	1	2	2	22	body	2016667
108_G1_h	108_G1	G1	108	10451540	4.7795	11383052	1	1	1	1	1	2	5	23	head	9204128
108_G10_b	108_G10	G10	108	48632470	3.4002	1671808	1	4	6	1	1	2	2	22	body	1350153
108_G10_h	108_G10	G10	108	48632470	3.4002	4224148	1	1	1	1	1	2	5	23	head	3384272
108_G11_b	108_G11	G11	108	13844956	3.79059	1787059	1	4	6	1	1	2	2	22	body	1433353
108_G11_h	108_G11	G11	108	13844956	3.79059	2131008	1	1	1	1	1	2	5	23	head	1758477
108_G12_b	108_G12	G12	108	11187756	4.30809	2143415	1	4	6	1	1	2	2	22	body	1898049
108_G2_b	108_G2	G2	108	10202682	4.62203	2185113	1	4	6	1	1	2	2	22	body	1787432
108_G2_h	108_G2	G2	108	10202682	4.62203	6258884	1	1	1	1	1	2	5	23	head	5140672
108_G3_b	108_G3	G3	108	12391880	4.11579	2320660	1	4	6	1	1	2	2	22	body	1811596
108_G3_h	108_G3	G3	108	12391880	4.11579	3407285	1	1	4	1	1	2	5	23	head	3194462
108_G4_b	108_G4	G4	108	12829732	3.74129	1568140	1	4	6	1	1	2	2	22	body	1296685
108_G4_h	108_G4	G4	108	12829732	3.74129	10754642	1	1	1	1	1	2	5	23	head	8901182
108_G5_b	108_G5	G5	108	16979092	3.23478	2254105	1	4	6	1	1	2	2	22	body	1786257
108_G5_h	108_G5	G5	108	16979092	3.23478	7151912	1	1	1	1	1	2	5	23	head	5689176
108_G6_b	108_G6	G6	108	17020726	3.98353	2969439	1	4	6	1	1	2	2	22	body	2499091
108_G6_h	108_G6	G6	108	17020726	3.98353	5353878	1	1	1	1	1	2	5	23	head	4400602
